#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,39518,Port:10,0,0,0,Enabled,0.125348,-0.863291,-0.398091,0.283796,-41.6927,39.4122,-145.277,0.134445,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,41518,Port:10,0,0,0,Enabled,0.455625,-0.702904,-0.060046,0.542888,-100.708,61.929,-59.2328,0.0636005,0
,,41526,Port:10,0,0,0,Enabled,0.454603,-0.703128,-0.0604573,0.543408,-100.881,61.7761,-59.2345,0.0655815,0
,,41542,Port:10,0,0,0,Enabled,0.454055,-0.70313,-0.0604437,0.543865,-100.937,61.6152,-59.1948,0.0637581,0
,,41558,Port:10,0,0,0,Enabled,0.453327,-0.702759,-0.060082,0.544991,-100.762,61.4652,-59.1008,0.0656745,0
,,41574,Port:10,0,0,0,Enabled,0.45254,-0.703278,-0.0591381,0.545079,-100.579,61.5229,-59.3201,0.0657936,0
,,41590,Port:10,0,0,0,Enabled,0.452782,-0.703448,-0.058147,0.544765,-100.412,61.5662,-59.3549,0.0599289,0
,,41606,Port:10,0,0,0,Enabled,0.451451,-0.703385,-0.0600954,0.545738,-100.812,61.1322,-59.407,0.0660084,0
,,41622,Port:10,0,0,0,Enabled,0.451613,-0.703097,-0.0588308,0.546113,-100.86,61.2036,-59.2721,0.0635518,0
,,41638,Port:10,0,0,0,Enabled,0.451158,-0.703763,-0.0595013,0.545559,-100.94,61.159,-59.3546,0.0656474,0
,,41654,Port:10,0,0,0,Enabled,0.450887,-0.70252,-0.0592519,0.547408,-101.097,61.0218,-59.0199,0.0649957,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,43438,Port:10,0,0,0,Enabled,0.494877,-0.667111,-0.0595886,0.553632,-96.0557,-58.2921,-49.7922,0.145513,0
,,43446,Port:10,0,0,0,Enabled,0.494424,-0.667575,-0.059035,0.553538,-95.9355,-58.1756,-49.8447,0.144634,0
,,43462,Port:10,0,0,0,Enabled,0.494622,-0.667114,-0.0579965,0.554026,-95.6879,-57.972,-49.6633,0.145073,0
,,43478,Port:10,0,0,0,Enabled,0.494133,-0.666774,-0.0591387,0.55475,-95.6361,-57.9621,-49.6669,0.146582,0
,,43494,Port:10,0,0,0,Enabled,0.494379,-0.667893,-0.0577148,0.553333,-95.4528,-57.5915,-49.8424,0.143864,0
,,43510,Port:10,0,0,0,Enabled,0.494537,-0.666501,-0.0570238,0.554939,-95.3471,-57.6306,-49.4005,0.141206,0
,,43526,Port:10,0,0,0,Enabled,0.494835,-0.667081,-0.0557816,0.554103,-95.2471,-57.4941,-49.3878,0.144132,0
,,43542,Port:10,0,0,0,Enabled,0.494875,-0.666893,-0.0571102,0.554158,-95.2852,-57.7219,-49.2319,0.138682,0
,,43558,Port:10,0,0,0,Enabled,0.494689,-0.666685,-0.055268,0.554761,-95.0593,-57.6097,-48.996,0.142843,0
,,43574,Port:10,0,0,0,Enabled,0.494831,-0.666725,-0.0555868,0.554554,-95.0865,-57.6196,-49.0187,0.141213,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,46310,Port:10,0,0,0,Enabled,0.380236,-0.0927154,-0.414891,0.821395,28.9207,-89.2882,-63.6792,0.0791176,0
,,46318,Port:10,0,0,0,Enabled,0.379894,-0.0931378,-0.414722,0.821591,28.8537,-89.0846,-63.5842,0.0647784,0
,,46326,Port:10,0,0,0,Enabled,0.380159,-0.0928804,-0.414887,0.821414,28.8459,-89.0277,-63.608,0.0627968,0
,,46342,Port:10,0,0,0,Enabled,0.380278,-0.092297,-0.41506,0.821338,28.7136,-88.9564,-63.6362,0.0521871,0
,,46358,Port:10,0,0,0,Enabled,0.38027,-0.0916071,-0.41546,0.821216,28.8021,-88.9635,-63.6877,0.0583344,0
,,46374,Port:10,0,0,0,Enabled,0.379857,-0.091876,-0.415346,0.821435,28.7519,-88.775,-63.6699,0.051887,0
,,46390,Port:10,0,0,0,Enabled,0.381912,-0.0906494,-0.415653,0.820463,28.8129,-88.8842,-63.8298,0.0699308,0
,,46406,Port:10,0,0,0,Enabled,0.381479,-0.0889972,-0.416415,0.820459,29.2792,-89.3724,-64.2252,0.121916,0
,,46422,Port:10,0,0,0,Enabled,0.380906,-0.088305,-0.417492,0.820252,29.6328,-89.6556,-64.5879,0.0638788,0
,,46438,Port:10,0,0,0,Enabled,0.380037,-0.0877349,-0.41756,0.820682,29.7859,-89.7599,-64.7244,0.0634868,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,47614,Port:10,0,0,0,Enabled,0.294167,-0.132096,-0.412821,0.851819,28.6867,21.5025,-75.8664,0.0475991,0
