#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,91166,Port:10,0,0,0,Enabled,0.643845,-0.106207,-0.267105,0.709111,-86.5519,47.9217,-75.5368,0.0357255,0
,,91182,Port:10,0,0,0,Enabled,0.643842,-0.106201,-0.267094,0.709119,-86.5523,47.9206,-75.5371,0.0357294,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,93790,Port:10,0,0,0,Enabled,0.652483,-0.0971969,-0.302431,0.688008,-83.0533,5.40155,-63.6005,0.0360944,0
,,93806,Port:10,0,0,0,Enabled,0.652489,-0.0971954,-0.302437,0.687999,-83.0522,5.40217,-63.6032,0.0361199,0
,,93814,Port:10,0,0,0,Enabled,0.652491,-0.0971997,-0.302433,0.687998,-83.0517,5.40256,-63.6041,0.0361115,0
,,93830,Port:10,0,0,0,Enabled,0.652491,-0.0972107,-0.302428,0.687999,-83.0506,5.40262,-63.6057,0.0360979,0
,,93838,Port:10,0,0,0,Enabled,0.652486,-0.0972105,-0.302432,0.688002,-83.05,5.40315,-63.6066,0.036057,0
,,93854,Port:10,0,0,0,Enabled,0.652482,-0.0972132,-0.302426,0.688008,-83.0492,5.40433,-63.6059,0.0360161,0
,,93870,Port:10,0,0,0,Enabled,0.65249,-0.0972098,-0.302432,0.687999,-83.0489,5.40496,-63.609,0.036029,0
,,93894,Port:10,0,0,0,Enabled,0.652472,-0.0972301,-0.302421,0.688017,-83.0468,5.40509,-63.609,0.0359007,0
,,93902,Port:10,0,0,0,Enabled,0.65247,-0.0972349,-0.302429,0.688016,-83.046,5.40452,-63.6127,0.0359114,0
,,93918,Port:10,0,0,0,Enabled,0.652486,-0.0972288,-0.302426,0.688002,-83.0451,5.40575,-63.6119,0.035981,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,99662,Port:10,0,0,0,Enabled,0.649573,-0.0918318,-0.305021,0.690351,-78.538,-43.9411,-63.1179,0.0398946,0
,,99670,Port:10,0,0,0,Enabled,0.649559,-0.091836,-0.305021,0.690363,-78.538,-43.9414,-63.1193,0.0398611,0
,,99686,Port:10,0,0,0,Enabled,0.649578,-0.0918061,-0.304995,0.690361,-78.542,-43.9359,-63.114,0.0404376,0
,,99702,Port:10,0,0,0,Enabled,0.649538,-0.0918286,-0.305006,0.690391,-78.5409,-43.9392,-63.119,0.0397902,0
,,99718,Port:10,0,0,0,Enabled,0.649543,-0.0917827,-0.305017,0.690387,-78.5444,-43.9363,-63.1167,0.0390386,0
,,99734,Port:10,0,0,0,Enabled,0.649469,-0.0918158,-0.305026,0.690448,-78.5404,-43.9412,-63.1209,0.0384564,0
,,99750,Port:10,0,0,0,Enabled,0.649509,-0.0918052,-0.305032,0.69041,-78.5383,-43.9401,-63.117,0.0386042,0
,,99766,Port:10,0,0,0,Enabled,0.6495,-0.0918407,-0.305038,0.690411,-78.5343,-43.9434,-63.1205,0.0388389,0
,,99782,Port:10,0,0,0,Enabled,0.649564,-0.0918174,-0.305035,0.690355,-78.5355,-43.9422,-63.1163,0.0399648,0
,,99798,Port:10,0,0,0,Enabled,0.649542,-0.0918401,-0.30505,0.690366,-78.5323,-43.9466,-63.1203,0.0397056,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,102750,Port:10,0,0,0,Enabled,0.588002,-0.0619835,-0.335925,0.733189,-94.2126,-101.165,-59.2158,0.0848325,0
,,102758,Port:10,0,0,0,Enabled,0.588016,-0.061962,-0.335933,0.733176,-94.2077,-101.163,-59.2133,0.0848945,0
,,102766,Port:10,0,0,0,Enabled,0.587988,-0.0619916,-0.335946,0.73319,-94.2059,-101.162,-59.2151,0.0853116,0
,,102774,Port:10,0,0,0,Enabled,0.587947,-0.0620276,-0.335948,0.733219,-94.208,-101.162,-59.2166,0.0856409,0
,,102790,Port:10,0,0,0,Enabled,0.587822,-0.0621166,-0.335975,0.7333,-94.2028,-101.158,-59.2161,0.0871043,0
,,102806,Port:10,0,0,0,Enabled,0.587625,-0.0622494,-0.336023,0.733424,-94.1994,-101.153,-59.2207,0.089363,0
,,102822,Port:10,0,0,0,Enabled,0.587395,-0.0623667,-0.336081,0.733572,-94.1881,-101.152,-59.2209,0.0929931,0
,,102838,Port:10,0,0,0,Enabled,0.587278,-0.0624265,-0.336104,0.733649,-94.1896,-101.153,-59.2215,0.0962446,0
,,102854,Port:10,0,0,0,Enabled,0.587312,-0.0623668,-0.336104,0.733628,-94.1931,-101.154,-59.2187,0.0965256,0
,,102870,Port:10,0,0,0,Enabled,0.587445,-0.0622813,-0.336083,0.733538,-94.195,-101.156,-59.2186,0.0957171,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,106214,Port:10,0,0,0,Enabled,0.549534,-0.379602,-0.440392,0.599974,-64.1198,-73.9984,-109.148,0.0863568,0
,,106222,Port:10,0,0,0,Enabled,0.549588,-0.379574,-0.440403,0.599934,-64.1207,-73.9903,-109.144,0.0866898,0
,,106230,Port:10,0,0,0,Enabled,0.549602,-0.379552,-0.440406,0.599935,-64.1225,-73.9908,-109.142,0.0867559,0
,,106246,Port:10,0,0,0,Enabled,0.549498,-0.379627,-0.44038,0.600002,-64.1164,-73.9998,-109.147,0.0862374,0
,,106262,Port:10,0,0,0,Enabled,0.549505,-0.379611,-0.44038,0.600004,-64.118,-73.9997,-109.145,0.0861079,0
,,106278,Port:10,0,0,0,Enabled,0.549448,-0.379658,-0.440372,0.600033,-64.1145,-74.0001,-109.148,0.0856757,0
,,106294,Port:10,0,0,0,Enabled,0.549433,-0.379662,-0.440357,0.600055,-64.1168,-74.0052,-109.15,0.0856173,0
,,106310,Port:10,0,0,0,Enabled,0.549424,-0.379677,-0.440366,0.600047,-64.1128,-74.002,-109.15,0.0856161,0
,,106326,Port:10,0,0,0,Enabled,0.549446,-0.379664,-0.440366,0.600035,-64.114,-74.0025,-109.149,0.0856551,0
,,106342,Port:10,0,0,0,Enabled,0.549454,-0.379659,-0.440386,0.600017,-64.1109,-73.9999,-109.151,0.085835,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,109398,Port:10,0,0,0,Enabled,0.55663,-0.392692,-0.468137,0.562853,-66.8762,-29.1883,-100.473,0.086589,0
,,109414,Port:10,0,0,0,Enabled,0.556643,-0.392674,-0.468129,0.562859,-66.8759,-29.1837,-100.467,0.0868775,0
,,109422,Port:10,0,0,0,Enabled,0.556662,-0.392664,-0.468143,0.562836,-66.8741,-29.1833,-100.467,0.0867866,0
,,109438,Port:10,0,0,0,Enabled,0.556671,-0.392654,-0.46814,0.562837,-66.872,-29.1803,-100.463,0.0871924,0
,,109454,Port:10,0,0,0,Enabled,0.556663,-0.392677,-0.468124,0.562842,-66.8689,-29.1783,-100.461,0.0875592,0
,,109470,Port:10,0,0,0,Enabled,0.556662,-0.392678,-0.468124,0.562842,-66.8694,-29.1814,-100.466,0.0875118,0
,,109486,Port:10,0,0,0,Enabled,0.556679,-0.392669,-0.46813,0.562827,-66.868,-29.178,-100.464,0.0874827,0
,,109502,Port:10,0,0,0,Enabled,0.556647,-0.392691,-0.468126,0.562847,-66.8698,-29.1867,-100.477,0.0869476,0
,,109518,Port:10,0,0,0,Enabled,0.556643,-0.392699,-0.468117,0.562852,-66.867,-29.181,-100.474,0.0870117,0
,,109534,Port:10,0,0,0,Enabled,0.55661,-0.392721,-0.468112,0.562873,-66.8673,-29.1882,-100.484,0.0864342,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,112942,Port:10,0,0,0,Enabled,0.498754,-0.522143,-0.525686,0.449739,-53.9005,19.7674,-114.031,0.0393996,0
,,112950,Port:10,0,0,0,Enabled,0.498754,-0.522157,-0.525667,0.449746,-53.8995,19.7672,-114.029,0.0394888,0
,,112958,Port:10,0,0,0,Enabled,0.498744,-0.522157,-0.52568,0.449742,-53.9006,19.7675,-114.033,0.0394802,0
,,112974,Port:10,0,0,0,Enabled,0.498762,-0.522139,-0.525705,0.449713,-53.9003,19.7678,-114.034,0.0394861,0
,,112990,Port:10,0,0,0,Enabled,0.498767,-0.522137,-0.52569,0.449727,-53.899,19.7686,-114.023,0.0395227,0
,,113006,Port:10,0,0,0,Enabled,0.498774,-0.522148,-0.525684,0.449712,-53.9002,19.7699,-114.033,0.0394675,0
,,113022,Port:10,0,0,0,Enabled,0.498745,-0.522175,-0.525664,0.449737,-53.8983,19.7678,-114.03,0.0393629,0
,,113046,Port:10,0,0,0,Enabled,0.498753,-0.522161,-0.525682,0.449724,-53.9011,19.7682,-114.038,0.0390409,0
,,113054,Port:10,0,0,0,Enabled,0.498735,-0.522171,-0.525681,0.449734,-53.9007,19.7667,-114.039,0.0390008,0
,,113070,Port:10,0,0,0,Enabled,0.498757,-0.522168,-0.525664,0.449733,-53.8992,19.7682,-114.034,0.0391655,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,115782,Port:10,0,0,0,Enabled,0.422225,-0.581044,-0.569179,0.400187,-51.3659,63.4056,-139.511,0.0572751,0
,,115798,Port:10,0,0,0,Enabled,0.422197,-0.5811,-0.569143,0.400186,-51.3585,63.407,-139.511,0.0577268,0
,,115814,Port:10,0,0,0,Enabled,0.422226,-0.581077,-0.569161,0.400163,-51.3624,63.4131,-139.522,0.057176,0
,,115822,Port:10,0,0,0,Enabled,0.422236,-0.581062,-0.56918,0.400148,-51.3609,63.4136,-139.524,0.0576058,0
,,115838,Port:10,0,0,0,Enabled,0.422184,-0.581073,-0.569171,0.4002,-51.3567,63.4014,-139.509,0.0575739,0
,,115854,Port:10,0,0,0,Enabled,0.422234,-0.581062,-0.569188,0.400138,-51.3534,63.409,-139.521,0.0585701,0
,,115870,Port:10,0,0,0,Enabled,0.422172,-0.58109,-0.569159,0.400204,-51.3509,63.399,-139.508,0.0579612,0
,,115886,Port:10,0,0,0,Enabled,0.422204,-0.581089,-0.569157,0.400175,-51.3536,63.4083,-139.519,0.0581255,0
,,115902,Port:10,0,0,0,Enabled,0.422163,-0.581143,-0.569105,0.400214,-51.3544,63.4077,-139.519,0.0583478,0
,,115918,Port:10,0,0,0,Enabled,0.422196,-0.581122,-0.569122,0.400183,-51.3552,63.411,-139.528,0.0592867,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,119062,Port:10,0,0,0,Enabled,0.405128,-0.618348,-0.588221,0.327893,-42.366,90.1546,-120.685,0.0897038,0
,,119078,Port:10,0,0,0,Enabled,0.405079,-0.61838,-0.588203,0.327924,-42.3647,90.1486,-120.689,0.0892832,0
,,119086,Port:10,0,0,0,Enabled,0.40508,-0.618374,-0.588206,0.327928,-42.3643,90.1463,-120.69,0.0895982,0
,,119094,Port:10,0,0,0,Enabled,0.405079,-0.618384,-0.588191,0.327938,-42.3627,90.1473,-120.692,0.0888395,0
,,119110,Port:10,0,0,0,Enabled,0.405037,-0.618412,-0.588183,0.327952,-42.3601,90.1416,-120.695,0.0887774,0
,,119126,Port:10,0,0,0,Enabled,0.405078,-0.618384,-0.588193,0.327935,-42.3615,90.1469,-120.699,0.0891334,0
,,119142,Port:10,0,0,0,Enabled,0.405073,-0.618399,-0.588192,0.327915,-42.3611,90.1495,-120.705,0.0892897,0
