ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,7846,8,Port:10,0,0,0,Enabled,0.676861,0.360186,-0.411631,-0.49263,-36.6782,30.4037,-117.405,0.0845846,0
1,,7862,16,Port:10,0,0,0,Enabled,0.670766,0.383856,-0.419636,-0.476059,-41.0763,25.4831,-123.301,0.0963227,0
1,,7878,16,Port:10,0,0,0,Enabled,0.664904,0.40895,-0.428425,-0.455099,-45.3588,19.9783,-129.743,0.109746,0
1,,7894,16,Port:10,0,0,0,Enabled,0.658869,0.432344,-0.434989,-0.435609,-48.7932,14.5777,-135.881,0.116237,0
1,,7910,16,Port:10,0,0,0,Enabled,0.652984,0.450137,-0.439768,-0.421418,-51.0473,10.0514,-141.139,0.11367,0
1,,7926,16,Port:10,0,0,0,Enabled,0.64875,0.464209,-0.443834,-0.40822,-52.5198,6.3233,-145.641,0.111701,0
1,,7942,16,Port:10,0,0,0,Enabled,0.644009,0.47755,-0.447319,-0.396364,-53.641,3.04398,-149.749,0.111688,0
1,,7958,16,Port:10,0,0,0,Enabled,0.63938,0.489304,-0.45176,-0.384301,-54.6707,0.247297,-153.699,0.110591,0
1,,7966,8,Port:10,0,0,0,Enabled,0.637213,0.494714,-0.454242,-0.377998,-55.1861,-1.13607,-155.672,0.108974,0
1,,7982,16,Port:10,0,0,0,Enabled,0.631432,0.507185,-0.458286,-0.366104,-56.0788,-3.89539,-159.841,0.118224,0
1,,7998,16,Port:10,0,0,0,Enabled,0.627701,0.516907,-0.462999,-0.352748,-56.5533,-6.49007,-163.66,0.125205,0
1,,8022,24,Port:10,0,0,0,Enabled,0.623912,0.529573,-0.463707,-0.339503,-56.5128,-9.88473,-167.768,0.159578,0
1,,8030,8,Port:10,0,0,0,Enabled,0.622781,0.532789,-0.463737,-0.336493,-56.3113,-10.8218,-168.744,0.16733,0
1,,8046,16,Port:10,0,0,0,Enabled,0.621597,0.538318,-0.463133,-0.330664,-56.1034,-12.523,-170.721,0.167311,0
1,,8062,16,Port:10,0,0,0,Enabled,0.619632,0.545352,-0.462963,-0.322975,-55.7957,-14.5409,-172.776,0.176246,0
1,,8086,24,Port:10,0,0,0,Enabled,0.617777,0.552853,-0.463668,-0.312597,-55.1814,-17.3651,-176.162,0.18051,0
1,,8102,16,Port:10,0,0,0,Enabled,0.616505,0.556493,-0.462692,-0.310085,-54.6267,-18.6357,-177.627,0.184699,0
1,,8118,16,Port:10,0,0,0,Enabled,0.61785,0.55908,-0.460867,-0.30544,-54.0197,-19.9694,-178.349,0.18245,0
1,,8134,16,Port:10,0,0,0,Enabled,0.616721,0.565128,-0.458567,-0.300005,-53.6641,-21.3007,-179.305,0.190446,0
1,,8150,16,Port:10,0,0,0,Enabled,0.614712,0.570741,-0.457474,-0.29513,-53.713,-22.7519,-180.879,0.189205,0
1,,8166,16,Port:10,0,0,0,Enabled,0.612203,0.577019,-0.456846,-0.289048,-53.5463,-24.314,-182.714,0.186768,0
1,,8182,16,Port:10,0,0,0,Enabled,0.610159,0.583036,-0.455448,-0.28345,-52.973,-26.1888,-184.6,0.199134,0
1,,8198,16,Port:10,0,0,0,Enabled,0.609038,0.59085,-0.447926,-0.281659,-51.8188,-28.3169,-185.711,0.1939,0
1,,8206,8,Port:10,0,0,0,Enabled,0.609438,0.594575,-0.44322,-0.280398,-51.0348,-29.5131,-185.913,0.199078,0
1,,8222,16,Port:10,0,0,0,Enabled,0.611546,0.599115,-0.437656,-0.274827,-49.9138,-31.5904,-186.658,0.202696,0
1,,8238,16,Port:10,0,0,0,Enabled,0.608992,0.602589,-0.43725,-0.273546,-49.7955,-32.3928,-187.928,0.20287,0
1,,8254,16,Port:10,0,0,0,Enabled,0.606484,0.605745,-0.438251,-0.27053,-49.8082,-33.1519,-189.376,0.203548,0
1,,8270,16,Port:10,0,0,0,Enabled,0.605294,0.607556,-0.437026,-0.271116,-49.6998,-33.3529,-189.583,0.212334,0
1,,8286,16,Port:10,0,0,0,Enabled,0.60673,0.606762,-0.436993,-0.269735,-49.5701,-33.3424,-189.227,0.204597,0
1,,8302,16,Port:10,0,0,0,Enabled,0.606586,0.606697,-0.435486,-0.272625,-49.6876,-32.8786,-188.449,0.210959,0
1,,8334,32,Port:10,0,0,0,Enabled,0.611361,0.599874,-0.433558,-0.28003,-49.2547,-31.1859,-185.141,0.206435,0
1,,8342,8,Port:10,0,0,0,Enabled,0.613689,0.59534,-0.43269,-0.285894,-49.2186,-30.1133,-183.336,0.202571,0
1,,8366,24,Port:10,0,0,0,Enabled,0.620135,0.580718,-0.432198,-0.302331,-49.515,-26.1475,-178.137,0.175354,0
1,,8374,8,Port:10,0,0,0,Enabled,0.622512,0.574702,-0.431936,-0.309238,-49.7619,-24.4899,-175.972,0.17457,0
1,,8390,16,Port:10,0,0,0,Enabled,0.627969,0.559962,-0.43085,-0.326292,-50.0648,-20.4995,-170.76,0.162638,0
1,,8406,16,Port:10,0,0,0,Enabled,0.635732,0.540366,-0.426786,-0.348861,-49.92,-15.6332,-164.078,0.131515,0
1,,8422,16,Port:10,0,0,0,Enabled,0.642786,0.523123,-0.42359,-0.365705,-49.3648,-10.9995,-157.783,0.109111,0
1,,8438,16,Port:10,0,0,0,Enabled,0.649933,0.503369,-0.421683,-0.382611,-48.4326,-6.10961,-151.872,0.092756,0
1,,8454,16,Port:10,0,0,0,Enabled,0.655959,0.48614,-0.420803,-0.395361,-47.6049,-1.62471,-146.794,0.0948045,0
1,,8470,16,Port:10,0,0,0,Enabled,0.659946,0.471032,-0.419659,-0.408028,-46.5738,2.45559,-142.424,0.0951718,0
1,,8486,16,Port:10,0,0,0,Enabled,0.663237,0.457069,-0.418441,-0.419657,-45.2005,6.24468,-138.561,0.103089,0
1,,8494,8,Port:10,0,0,0,Enabled,0.664645,0.45047,-0.417227,-0.425729,-44.1855,7.9569,-136.653,0.10218,0
1,,8510,16,Port:10,0,0,0,Enabled,0.66892,0.434154,-0.412261,-0.440565,-41.3341,11.8727,-132.149,0.102561,0
1,,8542,32,Port:10,0,0,0,Enabled,0.676817,0.397062,-0.402087,-0.471791,-33.674,20.8323,-122.034,0.0905106,0
1,,8558,16,Port:10,0,0,0,Enabled,0.680941,0.377883,-0.400236,-0.483048,-31.0066,25.5467,-117.6,0.0845532,0
1,,8574,16,Port:10,0,0,0,Enabled,0.682881,0.361624,-0.401107,-0.491952,-28.8988,30.0671,-114.203,0.0800795,0
1,,8590,16,Port:10,0,0,0,Enabled,0.686564,0.348207,-0.400223,-0.497195,-26.1811,33.8678,-111.1,0.0792224,0
1,,8598,8,Port:10,0,0,0,Enabled,0.689981,0.340463,-0.398868,-0.498914,-24.4079,35.8357,-109.434,0.0788171,0
1,,8614,16,Port:10,0,0,0,Enabled,0.694773,0.322055,-0.395667,-0.50697,-20.2204,40.4561,-105.946,0.0832498,0
1,,8630,16,Port:10,0,0,0,Enabled,0.694919,0.308197,-0.389454,-0.520028,-16.26,44.8067,-102.548,0.0892601,0
1,,8646,16,Port:10,0,0,0,Enabled,0.695236,0.298164,-0.382945,-0.530188,-13.0384,48.5851,-99.6115,0.118416,0
1,,8662,16,Port:10,0,0,0,Enabled,0.693253,0.292724,-0.375832,-0.5408,-10.2096,51.7933,-97.0491,0.193607,0
1,,8678,16,Port:10,0,0,0,Enabled,0.690425,0.288015,-0.365315,-0.55399,-6.97785,54.8057,-94.3957,0.303021,0
1,,8694,16,Port:10,0,0,0,Enabled,0.693007,0.275099,-0.35908,-0.561358,-3.94314,56.9365,-92.2204,0.260384,0
1,,8710,16,Port:10,0,0,0,Enabled,0.698217,0.260206,-0.357577,-0.562961,-1.53016,58.3138,-90.7381,0.162709,0
1,,8718,8,Port:10,0,0,0,Enabled,0.699967,0.254503,-0.357032,-0.563739,-0.701635,58.8567,-90.1912,0.13182,0
1,,8734,16,Port:10,0,0,0,Enabled,0.701937,0.248414,-0.357454,-0.56374,-0.027016,59.5105,-89.7573,0.108103,0
1,,8750,16,Port:10,0,0,0,Enabled,0.703853,0.246969,-0.357206,-0.562142,0.409103,59.5291,-89.6628,0.102836,0
1,,8782,32,Port:10,0,0,0,Enabled,0.7068,0.238973,-0.353993,-0.563928,2.8559,59.7689,-89.076,0.0789665,0
1,,8798,16,Port:10,0,0,0,Enabled,0.706034,0.234592,-0.350889,-0.568648,4.5569,60.1924,-88.6018,0.0748747,0
1,,8814,16,Port:10,0,0,0,Enabled,0.705964,0.230216,-0.350322,-0.570867,5.84986,60.5761,-88.5211,0.0712635,0
1,,8830,16,Port:10,0,0,0,Enabled,0.706046,0.226886,-0.348436,-0.573249,6.95332,60.9404,-88.1923,0.0722664,0
1,,8838,8,Port:10,0,0,0,Enabled,0.706487,0.225116,-0.34823,-0.573529,7.37442,61.0537,-88.1122,0.0708451,0
1,,8854,16,Port:10,0,0,0,Enabled,0.707405,0.221356,-0.346577,-0.574861,8.56292,61.5469,-87.5941,0.0712967,0
1,,8870,16,Port:10,0,0,0,Enabled,0.70738,0.214595,-0.344506,-0.578687,10.1068,62.4395,-86.8611,0.0713389,0
1,,8886,16,Port:10,0,0,0,Enabled,0.707168,0.207781,-0.341269,-0.583332,11.8438,63.4719,-85.9169,0.0726312,0
1,,8902,16,Port:10,0,0,0,Enabled,0.706752,0.203267,-0.340479,-0.585883,12.7776,64.3306,-85.479,0.072138,0
1,,8918,16,Port:10,0,0,0,Enabled,0.706407,0.202041,-0.340738,-0.586572,12.8989,64.642,-85.4299,0.0723595,0
1,,8934,16,Port:10,0,0,0,Enabled,0.706794,0.202325,-0.340945,-0.585887,12.6993,64.5344,-85.5118,0.0721006,0
1,,8942,8,Port:10,0,0,0,Enabled,0.707315,0.202056,-0.341362,-0.585109,12.5549,64.4577,-85.6047,0.072164,0
1,,8958,16,Port:10,0,0,0,Enabled,0.706586,0.202096,-0.341427,-0.585936,12.5168,64.5583,-85.633,0.072343,0
1,,8974,16,Port:10,0,0,0,Enabled,0.704783,0.202814,-0.341297,-0.587931,12.454,64.6132,-85.5794,0.0717821,0
